Ticker,Company,StartDate,EndDate,Simple Moving Average,Relative Strength Index,Moving Average Convergence Divergence,Moving Average Convergence Divergence Signal,Bollinger Upper Band,Bollinger Lower Band,On-Balance Volume,Average True Range,Average Directional Index,Output
JNJ,Johnson & Johnson,2016-04-30,2016-05-30,87.8327551468559,66.41501227516903,0.5723796642705762,0.5212178235059364,89.69297473965752,85.97253555405429,1613150.0,0.9035215828155444,22.792803056250047,1
JNJ,Johnson & Johnson,2016-05-15,2016-06-14,88.74157350713556,60.63959702872218,0.5007781156975523,0.4309960325777291,90.16296638155669,87.32018063271445,-12736207.31707317,0.9027314189321916,21.49241593054754,1
JNJ,Johnson & Johnson,2016-05-30,2016-06-29,89.80432702844793,63.49943596097968,0.3947751999991769,0.3248568117460511,91.88297921922413,87.72567483767173,-13344185.365853658,0.8437985489321578,17.764850072586814,1
JNJ,Johnson & Johnson,2016-06-14,2016-07-14,91.49760163047098,71.00006402238036,0.5321662920348926,0.3927731608941846,94.49847289534463,88.49673036559733,10526658.536585366,0.96676987161921,16.71747064137521,1
JNJ,Johnson & Johnson,2016-06-29,2016-07-29,93.99430623261829,75.82141709516635,1.0638019567912305,0.9111938874118608,97.58003863274824,90.40857383248826,54179869.047619045,0.9893045506408088,11.424054161781877,0
JNJ,Johnson & Johnson,2016-07-14,2016-08-13,96.40752828915912,70.62200907453715,0.7428998395860535,0.6762345653981213,99.3023275062956,93.51272907202268,31908223.25581396,0.9548334367672244,10.024812488336982,0
JNJ,Johnson & Johnson,2016-07-29,2016-08-28,97.2993992017663,51.13549386319752,0.4213876117795693,0.4644510873994755,99.31987936975028,95.27891903378234,19337004.76190476,0.8833592132596839,18.99190666798425,0
JNJ,Johnson & Johnson,2016-08-13,2016-09-12,96.38998622894287,35.48475137364612,-0.200034507289836,-0.1332415607908142,98.6574668383488,94.12250561953694,-21098912.19512195,0.8220602127616833,18.949832303657715,0
JNJ,Johnson & Johnson,2016-08-28,2016-09-27,94.83064094890248,36.34966358427318,-0.6275118020052841,-0.5657985448238749,96.62507889997174,93.0362029978332,-42575924.3902439,0.7982101657629753,17.2193744840634,0
JNJ,Johnson & Johnson,2016-09-12,2016-10-12,94.0478193283081,46.46948616261609,-0.3400449364373972,-0.3233293324410323,95.17481169467317,92.92082696194306,-24866209.756097563,0.9248769465759316,20.6813325610564,1
JNJ,Johnson & Johnson,2016-09-27,2016-10-27,93.67614188816236,44.01432500583766,-0.2758516634069919,-0.208477476756031,95.28663217843754,92.0656515978872,-4232635.714285715,0.9380918326031812,40.48684298321791,1
JNJ,Johnson & Johnson,2016-10-12,2016-11-11,92.8423445587158,45.38856680561104,-0.3147304177196007,-0.2802538882782213,95.23060166095352,90.45408745647812,17526959.09090909,1.1124678041111606,48.86487434342776,0
JNJ,Johnson & Johnson,2016-10-27,2016-11-26,92.0403421084086,46.109993730041616,-0.3390711072933902,-0.3181264955062636,94.98895005912192,89.09173415769529,28592527.906976745,1.1768561841330936,48.79288678121383,1
JNJ,Johnson & Johnson,2016-11-11,2016-12-11,91.60452721637228,43.75861188807062,-0.3841187768937529,-0.3116599958260969,94.67386912348373,88.53518530926081,769057.1428571428,1.175811229574553,49.08849679551027,1
JNJ,Johnson & Johnson,2016-11-26,2016-12-26,90.96843032836917,47.169724172840496,-0.0921259317066946,-0.1023445887746246,94.1180027039828,87.8188579527555,-15621980.48780488,1.1861373088117506,31.756434151525347,0
JNJ,Johnson & Johnson,2016-12-11,2017-01-10,90.85003463745116,53.36788793353666,-0.3774905091035047,-0.4011911464921223,93.68921638656522,88.01085288833714,-33682443.58974359,1.0764089120729,14.769010021448375,0
JNJ,Johnson & Johnson,2016-12-26,2017-01-25,91.68698841094972,55.45614885318312,0.2384878521481532,0.2270998842335301,93.60437099740014,89.76960582449928,-22325584.615384616,0.9908210958002236,23.9910767130877,1
JNJ,Johnson & Johnson,2017-01-10,2017-02-09,91.55862136114212,41.78307213022057,-0.1430747990087134,-0.0993302961908449,93.15192774834864,89.96531497393558,-33133502.5,1.0793903896702102,34.99986523862571,1
JNJ,Johnson & Johnson,2017-01-25,2017-02-24,91.06168725149972,53.50530192724462,-0.1178578575099621,-0.1717200303383238,93.38754475415692,88.73582974884252,-32271255.0,0.8784636376803716,37.190280940734745,1
JNJ,Johnson & Johnson,2017-02-09,2017-03-11,92.71762658824092,74.39406415552125,0.3750716696610738,0.1879928750480024,96.9506884417069,88.48456473477493,-11986159.523809524,1.0084193579714429,14.727654926009697,0
JNJ,Johnson & Johnson,2017-02-24,2017-03-26,96.47174344270124,86.70142737522787,1.3428424452263037,1.1302053654815676,101.84993467785964,91.09355220754288,48139407.14285714,1.0437132578106816,8.618125932410504,0
JNJ,Johnson & Johnson,2017-03-11,2017-04-10,99.95190989754418,65.98144395608345,1.4595389094581648,1.3703489619635794,103.7864084751077,96.1174113199806,55009397.56097561,1.0586028709242548,12.378364317058042,0
JNJ,Johnson & Johnson,2017-03-26,2017-04-25,100.75293303402988,45.57736264295976,0.2686409328152835,0.3005108586715124,103.12770294832129,98.37816311973847,-7000539.024390244,1.0098077984450269,32.62609729992463,1
JNJ,Johnson & Johnson,2017-04-10,2017-05-10,99.86599415865813,36.55923900288193,-0.3358855060336422,-0.291753108556827,101.92910525812177,97.80288305919449,-37487536.585365854,0.9243612081571696,29.13344065454594,1
JNJ,Johnson & Johnson,2017-04-25,2017-05-25,99.35518631313158,52.68307449983649,-0.1635057817984448,-0.2040622867569945,101.56064298246534,97.14972964379784,-19249719.04761905,0.8561517935219485,16.826427877460027,1
JNJ,Johnson & Johnson,2017-05-10,2017-06-09,100.28413515505584,67.33988867654442,0.2874603849558666,0.1723852608028783,103.18870310136924,97.37956720874244,6536461.904761905,0.9109344288946796,18.461955995964928,1
